volunteer,status,issue_type,item,path
001,INCOMPLETE,missing,palm_L_N,
001,INCOMPLETE,missing,palm_L_RL,
001,INCOMPLETE,missing,palm_L_RR,
001,INCOMPLETE,missing,palm_L_PU,
001,INCOMPLETE,missing,palm_L_PD,
001,INCOMPLETE,missing,palm_R_N,
001,INCOMPLETE,missing,palm_R_RL,
001,INCOMPLETE,missing,palm_R_RR,
001,INCOMPLETE,missing,palm_R_PU,
001,INCOMPLETE,missing,palm_R_PD,
001,INCOMPLETE,missing,walk_F,
001,INCOMPLETE,missing,walk_S,
002,INCOMPLETE,missing,face_depth,
002,INCOMPLETE,missing,face_ir1,
002,INCOMPLETE,missing,face_ir2,
002,INCOMPLETE,missing,face_thermal,
002,INCOMPLETE,missing,palm_L_N,
002,INCOMPLETE,missing,palm_L_RL,
002,INCOMPLETE,missing,palm_L_RR,
002,INCOMPLETE,missing,palm_L_PU,
002,INCOMPLETE,missing,palm_L_PD,
002,INCOMPLETE,missing,palm_R_N,
002,INCOMPLETE,missing,palm_R_RL,
002,INCOMPLETE,missing,palm_R_RR,
002,INCOMPLETE,missing,palm_R_PU,
002,INCOMPLETE,missing,palm_R_PD,
002,INCOMPLETE,missing,walk_F,
002,INCOMPLETE,missing,walk_S,
003,INCOMPLETE,missing,face_depth,
003,INCOMPLETE,missing,face_ir1,
003,INCOMPLETE,missing,face_ir2,
003,INCOMPLETE,missing,face_thermal,
003,INCOMPLETE,missing,palm_L_N,
003,INCOMPLETE,missing,palm_L_RL,
003,INCOMPLETE,missing,palm_L_RR,
003,INCOMPLETE,missing,palm_L_PU,
003,INCOMPLETE,missing,palm_L_PD,
003,INCOMPLETE,missing,palm_R_N,
003,INCOMPLETE,missing,palm_R_RL,
003,INCOMPLETE,missing,palm_R_RR,
003,INCOMPLETE,missing,palm_R_PU,
003,INCOMPLETE,missing,palm_R_PD,
003,INCOMPLETE,missing,walk_F,
003,INCOMPLETE,missing,walk_S,
004,INCOMPLETE,missing,face_depth,
004,INCOMPLETE,missing,face_ir1,
004,INCOMPLETE,missing,face_ir2,
004,INCOMPLETE,missing,face_thermal,
004,INCOMPLETE,missing,palm_L_N,
004,INCOMPLETE,missing,palm_L_RL,
004,INCOMPLETE,missing,palm_L_RR,
004,INCOMPLETE,missing,palm_L_PU,
004,INCOMPLETE,missing,palm_L_PD,
004,INCOMPLETE,missing,palm_R_N,
004,INCOMPLETE,missing,palm_R_RL,
004,INCOMPLETE,missing,palm_R_RR,
004,INCOMPLETE,missing,palm_R_PU,
004,INCOMPLETE,missing,palm_R_PD,
004,INCOMPLETE,missing,walk_F,
004,INCOMPLETE,missing,walk_S,
101,INCOMPLETE,missing,face_depth,
101,INCOMPLETE,missing,face_ir1,
101,INCOMPLETE,missing,face_ir2,
101,INCOMPLETE,missing,face_thermal,
101,INCOMPLETE,missing,palm_L_N,
101,INCOMPLETE,missing,palm_L_RL,
101,INCOMPLETE,missing,palm_L_RR,
101,INCOMPLETE,missing,palm_L_PU,
101,INCOMPLETE,missing,palm_L_PD,
101,INCOMPLETE,missing,palm_R_N,
101,INCOMPLETE,missing,palm_R_RL,
101,INCOMPLETE,missing,palm_R_RR,
101,INCOMPLETE,missing,palm_R_PU,
101,INCOMPLETE,missing,palm_R_PD,
101,INCOMPLETE,missing,walk_F,
101,INCOMPLETE,missing,walk_S,
103,INCOMPLETE,missing,face_depth,
103,INCOMPLETE,missing,face_ir1,
103,INCOMPLETE,missing,face_ir2,
103,INCOMPLETE,missing,face_thermal,
103,INCOMPLETE,missing,palm_L_N,
103,INCOMPLETE,missing,palm_L_RL,
103,INCOMPLETE,missing,palm_L_RR,
103,INCOMPLETE,missing,palm_L_PU,
103,INCOMPLETE,missing,palm_L_PD,
103,INCOMPLETE,missing,palm_R_N,
103,INCOMPLETE,missing,palm_R_RL,
103,INCOMPLETE,missing,palm_R_RR,
103,INCOMPLETE,missing,palm_R_PU,
103,INCOMPLETE,missing,palm_R_PD,
103,INCOMPLETE,missing,walk_F,
103,INCOMPLETE,missing,walk_S,
105,INCOMPLETE,missing,face_depth,
105,INCOMPLETE,missing,face_ir1,
105,INCOMPLETE,missing,face_ir2,
105,INCOMPLETE,missing,face_thermal,
105,INCOMPLETE,missing,palm_L_N,
105,INCOMPLETE,missing,palm_L_RL,
105,INCOMPLETE,missing,palm_L_RR,
105,INCOMPLETE,missing,palm_L_PU,
105,INCOMPLETE,missing,palm_L_PD,
105,INCOMPLETE,missing,palm_R_N,
105,INCOMPLETE,missing,palm_R_RL,
105,INCOMPLETE,missing,palm_R_RR,
105,INCOMPLETE,missing,palm_R_PU,
105,INCOMPLETE,missing,palm_R_PD,
105,INCOMPLETE,missing,walk_F,
105,INCOMPLETE,missing,walk_S,
107,INCOMPLETE,missing,face_rgb,
107,INCOMPLETE,missing,face_depth,
107,INCOMPLETE,missing,face_ir1,
107,INCOMPLETE,missing,face_ir2,
107,INCOMPLETE,missing,face_thermal,
107,INCOMPLETE,missing,palm_L_N,
107,INCOMPLETE,missing,palm_L_RL,
107,INCOMPLETE,missing,palm_L_RR,
107,INCOMPLETE,missing,palm_L_PU,
107,INCOMPLETE,missing,palm_L_PD,
107,INCOMPLETE,missing,palm_R_N,
107,INCOMPLETE,missing,palm_R_RL,
107,INCOMPLETE,missing,palm_R_RR,
107,INCOMPLETE,missing,palm_R_PU,
107,INCOMPLETE,missing,palm_R_PD,
107,INCOMPLETE,missing,walk_F,
107,INCOMPLETE,missing,walk_S,
201,INCOMPLETE,missing,face_depth,
201,INCOMPLETE,missing,face_ir1,
201,INCOMPLETE,missing,face_ir2,
201,INCOMPLETE,missing,face_thermal,
201,INCOMPLETE,missing,palm_L_N,
201,INCOMPLETE,missing,palm_L_RL,
201,INCOMPLETE,missing,palm_L_RR,
201,INCOMPLETE,missing,palm_L_PU,
201,INCOMPLETE,missing,palm_L_PD,
201,INCOMPLETE,missing,palm_R_N,
201,INCOMPLETE,missing,palm_R_RL,
201,INCOMPLETE,missing,palm_R_RR,
201,INCOMPLETE,missing,palm_R_PU,
201,INCOMPLETE,missing,palm_R_PD,
201,INCOMPLETE,missing,walk_F,
201,INCOMPLETE,missing,walk_S,
205,INCOMPLETE,missing,face_depth,
205,INCOMPLETE,missing,face_ir1,
205,INCOMPLETE,missing,face_ir2,
205,INCOMPLETE,missing,face_thermal,
205,INCOMPLETE,missing,palm_L_N,
205,INCOMPLETE,missing,palm_L_RL,
205,INCOMPLETE,missing,palm_L_RR,
205,INCOMPLETE,missing,palm_L_PU,
205,INCOMPLETE,missing,palm_L_PD,
205,INCOMPLETE,missing,palm_R_N,
205,INCOMPLETE,missing,palm_R_RL,
205,INCOMPLETE,missing,palm_R_RR,
205,INCOMPLETE,missing,palm_R_PU,
205,INCOMPLETE,missing,palm_R_PD,
205,INCOMPLETE,missing,walk_F,
205,INCOMPLETE,missing,walk_S,
208,INCOMPLETE,missing,face_depth,
208,INCOMPLETE,missing,face_ir1,
208,INCOMPLETE,missing,face_ir2,
208,INCOMPLETE,missing,face_thermal,
208,INCOMPLETE,missing,palm_L_N,
208,INCOMPLETE,missing,palm_L_RL,
208,INCOMPLETE,missing,palm_L_RR,
208,INCOMPLETE,missing,palm_L_PU,
208,INCOMPLETE,missing,palm_L_PD,
208,INCOMPLETE,missing,palm_R_N,
208,INCOMPLETE,missing,palm_R_RL,
208,INCOMPLETE,missing,palm_R_RR,
208,INCOMPLETE,missing,palm_R_PU,
208,INCOMPLETE,missing,palm_R_PD,
208,INCOMPLETE,missing,walk_F,
