volunteer_id,data_type,filename,check_name,status,reason,frame_index
105,face_rgb,105_face_rgb.mp4,check_container,PASS,"container ok (.mp4, 3 channels, codec=h264)",,
105,face_rgb,105_face_rgb.mp4,check_fps,PASS,fps=60.00 >= 5,,
105,face_rgb,105_face_rgb.mp4,check_duration,PASS,duration=42.9 >= 40,,
105,face_rgb,105_face_rgb.mp4,check_resolution,PASS,resolution=1080x1080 >= 180x180,,
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=0 No faces detected,0,0
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=12 No faces detected,12,12
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=24 No faces detected,24,24
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=36 No faces detected,36,36
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=48 No faces detected,48,48
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=60 No faces detected,60,60
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=72 No faces detected,72,72
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=84 No faces detected,84,84
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=96 No faces detected,96,96
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=108 No faces detected,108,108
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=120 No faces detected,120,120
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=132 No faces detected,132,132
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=144 No faces detected,144,144
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=156 No faces detected,156,156
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=168 No faces detected,168,168
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=180 No faces detected,180,180
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=192 No faces detected,192,192
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=204 No faces detected,204,204
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=216 No faces detected,216,216
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=228 No faces detected,228,228
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=240 No faces detected,240,240
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=252 No faces detected,252,252
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=264 No faces detected,264,264
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=276 No faces detected,276,276
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=288 No faces detected,288,288
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=300 No faces detected,300,300
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=312 No faces detected,312,312
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=324 No faces detected,324,324
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=336 No faces detected,336,336
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=348 No faces detected,348,348
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=360 No faces detected,360,360
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=372 No faces detected,372,372
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=384 No faces detected,384,384
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=396 No faces detected,396,396
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=408 No faces detected,408,408
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=420 No faces detected,420,420
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=432 No faces detected,432,432
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=444 No faces detected,444,444
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=456 No faces detected,456,456
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=468 No faces detected,468,468
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=480 No faces detected,480,480
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=492 No faces detected,492,492
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=504 No faces detected,504,504
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=516 No faces detected,516,516
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=528 No faces detected,528,528
105,face_rgb,105_face_rgb.mp4,check_face_detected,REVIEW,frame=540 No faces detected,540,540
