volunteer,status,issue_type,item,path
001,INCOMPLETE,missing,walk_F,
001,INCOMPLETE,missing,walk_S,
001,INCOMPLETE,wrong_extension_case,palm_L_N,data\001_palm_L_N.JPG
001,INCOMPLETE,wrong_extension_case,palm_L_PD,data\001_palm_L_PD.JPG
001,INCOMPLETE,wrong_extension_case,palm_L_PU,data\001_palm_L_PU.JPG
001,INCOMPLETE,wrong_extension_case,palm_L_RL,data\001_palm_L_RL.JPG
001,INCOMPLETE,wrong_extension_case,palm_L_RR,data\001_palm_L_RR.JPG
001,INCOMPLETE,wrong_extension_case,palm_R_N,data\001_palm_R_N.JPG
001,INCOMPLETE,wrong_extension_case,palm_R_PD,data\001_palm_R_PD.JPG
001,INCOMPLETE,wrong_extension_case,palm_R_PU,data\001_palm_R_PU.JPG
001,INCOMPLETE,wrong_extension_case,palm_R_RL,data\001_palm_R_RL.JPG
001,INCOMPLETE,wrong_extension_case,palm_R_RR,data\001_palm_R_RR.JPG
002,INCOMPLETE,missing,face_depth,
002,INCOMPLETE,missing,face_ir1,
002,INCOMPLETE,missing,face_ir2,
002,INCOMPLETE,missing,face_thermal,
002,INCOMPLETE,missing,palm_L_N,
002,INCOMPLETE,missing,palm_L_RL,
002,INCOMPLETE,missing,palm_L_RR,
002,INCOMPLETE,missing,palm_L_PU,
002,INCOMPLETE,missing,palm_L_PD,
002,INCOMPLETE,missing,palm_R_N,
002,INCOMPLETE,missing,palm_R_RL,
002,INCOMPLETE,missing,palm_R_RR,
002,INCOMPLETE,missing,palm_R_PU,
002,INCOMPLETE,missing,palm_R_PD,
002,INCOMPLETE,missing,walk_F,
002,INCOMPLETE,missing,walk_S,
101,INCOMPLETE,missing,face_depth,
101,INCOMPLETE,missing,face_ir1,
101,INCOMPLETE,missing,face_ir2,
101,INCOMPLETE,missing,face_thermal,
101,INCOMPLETE,missing,palm_L_N,
101,INCOMPLETE,missing,palm_L_RL,
101,INCOMPLETE,missing,palm_L_RR,
101,INCOMPLETE,missing,palm_L_PU,
101,INCOMPLETE,missing,palm_L_PD,
101,INCOMPLETE,missing,palm_R_N,
101,INCOMPLETE,missing,palm_R_RL,
101,INCOMPLETE,missing,palm_R_RR,
101,INCOMPLETE,missing,palm_R_PU,
101,INCOMPLETE,missing,palm_R_PD,
101,INCOMPLETE,missing,walk_F,
101,INCOMPLETE,missing,walk_S,
102,INCOMPLETE,missing,face_depth,
102,INCOMPLETE,missing,face_ir1,
102,INCOMPLETE,missing,face_ir2,
102,INCOMPLETE,missing,face_thermal,
102,INCOMPLETE,missing,palm_L_N,
102,INCOMPLETE,missing,palm_L_RL,
102,INCOMPLETE,missing,palm_L_RR,
102,INCOMPLETE,missing,palm_L_PU,
102,INCOMPLETE,missing,palm_L_PD,
102,INCOMPLETE,missing,palm_R_N,
102,INCOMPLETE,missing,palm_R_RL,
102,INCOMPLETE,missing,palm_R_RR,
102,INCOMPLETE,missing,palm_R_PU,
102,INCOMPLETE,missing,palm_R_PD,
102,INCOMPLETE,missing,walk_F,
102,INCOMPLETE,missing,walk_S,
103,INCOMPLETE,missing,face_depth,
103,INCOMPLETE,missing,face_ir1,
103,INCOMPLETE,missing,face_ir2,
103,INCOMPLETE,missing,face_thermal,
103,INCOMPLETE,missing,palm_L_N,
103,INCOMPLETE,missing,palm_L_RL,
103,INCOMPLETE,missing,palm_L_RR,
103,INCOMPLETE,missing,palm_L_PU,
103,INCOMPLETE,missing,palm_L_PD,
103,INCOMPLETE,missing,palm_R_N,
103,INCOMPLETE,missing,palm_R_RL,
103,INCOMPLETE,missing,palm_R_RR,
103,INCOMPLETE,missing,palm_R_PU,
103,INCOMPLETE,missing,palm_R_PD,
103,INCOMPLETE,missing,walk_F,
103,INCOMPLETE,missing,walk_S,
104,INCOMPLETE,missing,face_depth,
104,INCOMPLETE,missing,face_ir1,
104,INCOMPLETE,missing,face_ir2,
104,INCOMPLETE,missing,face_thermal,
104,INCOMPLETE,missing,palm_L_N,
104,INCOMPLETE,missing,palm_L_RL,
104,INCOMPLETE,missing,palm_L_RR,
104,INCOMPLETE,missing,palm_L_PU,
104,INCOMPLETE,missing,palm_L_PD,
104,INCOMPLETE,missing,palm_R_N,
104,INCOMPLETE,missing,palm_R_RL,
104,INCOMPLETE,missing,palm_R_RR,
104,INCOMPLETE,missing,palm_R_PU,
104,INCOMPLETE,missing,palm_R_PD,
104,INCOMPLETE,missing,walk_F,
104,INCOMPLETE,missing,walk_S,
105,INCOMPLETE,missing,face_depth,
105,INCOMPLETE,missing,face_ir1,
105,INCOMPLETE,missing,face_ir2,
105,INCOMPLETE,missing,face_thermal,
105,INCOMPLETE,missing,palm_L_N,
105,INCOMPLETE,missing,palm_L_RL,
105,INCOMPLETE,missing,palm_L_RR,
105,INCOMPLETE,missing,palm_L_PU,
105,INCOMPLETE,missing,palm_L_PD,
105,INCOMPLETE,missing,palm_R_N,
105,INCOMPLETE,missing,palm_R_RL,
105,INCOMPLETE,missing,palm_R_RR,
105,INCOMPLETE,missing,palm_R_PU,
105,INCOMPLETE,missing,palm_R_PD,
105,INCOMPLETE,missing,walk_F,
105,INCOMPLETE,missing,walk_S,
106,INCOMPLETE,missing,face_rgb,
106,INCOMPLETE,missing,face_depth,
106,INCOMPLETE,missing,face_ir1,
106,INCOMPLETE,missing,face_ir2,
106,INCOMPLETE,missing,face_thermal,
106,INCOMPLETE,missing,palm_L_N,
106,INCOMPLETE,missing,palm_L_RL,
106,INCOMPLETE,missing,palm_L_RR,
106,INCOMPLETE,missing,palm_L_PU,
106,INCOMPLETE,missing,palm_L_PD,
106,INCOMPLETE,missing,palm_R_N,
106,INCOMPLETE,missing,palm_R_RL,
106,INCOMPLETE,missing,palm_R_RR,
106,INCOMPLETE,missing,palm_R_PU,
106,INCOMPLETE,missing,palm_R_PD,
106,INCOMPLETE,missing,walk_F,
106,INCOMPLETE,missing,walk_S,
107,INCOMPLETE,missing,face_rgb,
107,INCOMPLETE,missing,face_depth,
107,INCOMPLETE,missing,face_ir1,
107,INCOMPLETE,missing,face_ir2,
107,INCOMPLETE,missing,face_thermal,
107,INCOMPLETE,missing,palm_L_N,
107,INCOMPLETE,missing,palm_L_RL,
107,INCOMPLETE,missing,palm_L_RR,
107,INCOMPLETE,missing,palm_L_PU,
107,INCOMPLETE,missing,palm_L_PD,
107,INCOMPLETE,missing,palm_R_N,
107,INCOMPLETE,missing,palm_R_RL,
107,INCOMPLETE,missing,palm_R_RR,
107,INCOMPLETE,missing,palm_R_PU,
107,INCOMPLETE,missing,palm_R_PD,
107,INCOMPLETE,missing,walk_F,
107,INCOMPLETE,missing,walk_S,
106,UNRECOGNISED,unrecognised,,data\106_face_rgb.mkv
107,UNRECOGNISED,unrecognised,,data\107_face_rgb.jpg
